rank,doc_idx,lda_cluster,lda_topwords,lda_maxtheta,lda_entropy,embed_pred_cluster,embed_topwords,true_group,lda_cluster_as_group,embed_pred_as_group,text
1461,6428,15,don just like know think good,0.392,0.511,13,team game year games play season,rec.sport.baseball,rec.motorcycles,rec.sport.hockey,strictly memory think phillies like games lost row lose cardinals impossible thats remember felt time johnny phillies lost mvp product jerry
1462,6125,15,don just like know think good,0.392,0.486,13,team game year games play season,rec.sport.baseball,rec.motorcycles,rec.sport.hockey,right forgot rbi base fraction runs come runs scored happened players base did good use phrase happened lots people tried figure players ability turn clutch rbi situations evidence ability extent clutch hitters people tend things cause rbi somebody base end getting rbis proportional obliged position
1463,7123,10,said people went didn came told,0.392,0.528,0,israel turkish armenian jews war israeli,talk.politics.mideast,talk.religion.misc,talk.politics.mideast,center policy research cpr subject israeli press nazi methods written apr cpr org mideast forum israeli press nazi methods israeli press newspaper date author subject nazi methods gaza title neighborhood hope excerpts long sadly worked entire life order built house left transmit face say teach child
1464,7271,15,don just like know think good,0.392,0.443,2,car new bike price sale cars,rec.autos,rec.motorcycles,misc.forsale,yes common problem leaks occur seal unfortunately ford probes does recall say drain holes know used drain waited months short cash wouldn fix paid electrical including balance motion sensor located near fuel trunk resulted passive retract ended paying sensor replaced tail lights replaced insisted pr
1465,4825,14,gun law guns government people state,0.392,0.458,15,don just like know think good,talk.politics.guns,talk.politics.guns,rec.motorcycles,does mean gang member gang areas residents gang members obvious trying hit target does confuse trying simulate post self defense shooting rest understand exclusion error lot gun games sounds like practical pistol maybe sounds like self defense practice things action hunting like post shooting andy
1466,2818,6,window server motif widget use application,0.392,0.445,5,drive card scsi disk dos windows,comp.sys.ibm.pc.hardware,comp.windows.x,comp.sys.ibm.pc.hardware,following note looks like works advertised disappointed speed using intel internal modem unix end currently limited unix com link comparison did cat file file ascii text took seconds scroll window modem link sec using identical hardware cat file takes seconds sec btw use ncd xview work day unix acce
1467,3678,0,israel turkish armenian jews war israeli,0.392,0.596,15,don just like know think good,talk.politics.mideast,talk.politics.mideast,rec.motorcycles,people shown proposal wanted point people think action intelligent productive supposedly helps proposal based likely adam adam shostack adam das harvard edu
1468,2457,1,space nasa launch earth satellite shuttle,0.391,0.511,7,time use used number point different,sci.space,sci.space,rec.autos,computation did long time ago length able convert information sunrise sunset times telephone department mathematics statistics mail university maryland baltimore county bitnet bitnet baltimore usa internet math edu definitions tilt axis planet away normal orbital plane case earth degrees think recal
1469,7306,7,time use used number point different,0.391,0.424,18,god jesus church bible christ christian,alt.atheism,rec.autos,soc.religion.christian,reading newspapers learn kind stuff best idea world newspaper reporters ignorant subject religion prone interests having real story bigger headline let point text various translations ancient greek translation text standard jewish text essentially does vary places obvious copied copy copy passages p
1470,8085,2,car new bike price sale cars,0.391,0.566,5,drive card scsi disk dos windows,misc.forsale,misc.forsale,comp.sys.ibm.pc.hardware,macintosh ram monochrome monitor sale asking reasonable best offer rejected contact mon
1471,6106,5,drive card scsi disk dos windows,0.391,0.505,15,don just like know think good,comp.sys.mac.hardware,comp.sys.ibm.pc.hardware,rec.motorcycles,used voice fax data modems question brand names recommend interested voice fax voice reliable understandable claim approximately hard drive space does average day speak minute feed appreciated company looking buying hey buy thanks advance don
1472,9594,17,power use water ground wire used,0.391,0.444,2,car new bike price sale cars,misc.forsale,sci.electronics,misc.forsale,band mono sale knows unit knows recording studio standard years pretty straightforward unit balanced ins outs power supply caps recently replaced added connectors easily removed prefer mounted outside case unit good shape clean asking ups shipping going generally make offer
1473,6400,9,edu com mail information send list,0.391,0.473,11,image software available ftp files graphics,sci.crypt,comp.sys.mac.hardware,comp.graphics,lot archives post reproduce time develop tcp standard crypto voice layer point point slip free standard crypto voice like pgp mail note date post appropriate huh mil thu jul mil joe campbell newsgroups comp compression research subject sound compression algorithms date jul gmt organization great cas
1474,1962,7,time use used number point different,0.391,0.548,15,don just like know think good,sci.space,rec.autos,rec.motorcycles,japanese learning curve far nuclear power goes means unlike germans great things japanese tie foreign companies major mitsubishi sharing agreement think chance new design lots chemical problems like eats steel slowly gets end desired property design difficulties does bitch chemical properties means 
1475,6451,11,image software available ftp files graphics,0.391,0.463,15,don just like know think good,comp.sys.mac.hardware,comp.graphics,rec.motorcycles,market laser printer used printers fine non apple printers fine printer fit following required features postscript dpi memory download fonts cheaper better prefer nice things pages minute scsi output font disk don care postscript level networking just color know freedom press heard slow tolerate ppm
1476,1826,11,image software available ftp files graphics,0.391,0.591,6,window server motif widget use application,comp.windows.x,comp.graphics,comp.windows.x,like track development ultrix openwindows currently use newsgroup comp windows like use email based info thanks
1477,6593,15,don just like know think good,0.391,0.524,9,edu com mail information send list,rec.sport.baseball,rec.motorcycles,comp.sys.mac.hardware,wondering types box scores day college able till weekend thankful mail twins box scores looking twins schedule
1478,4943,5,drive card scsi disk dos windows,0.391,0.623,9,edu com mail information send list,comp.os.ms-windows.misc,comp.sys.ibm.pc.hardware,comp.sys.mac.hardware,does windows use math processor talking specific apps want respond email
1479,2157,5,drive card scsi disk dos windows,0.391,0.564,11,image software available ftp files graphics,comp.graphics,comp.sys.ibm.pc.hardware,comp.graphics,wanted know recommend good book graphics animated vga svga thanks advance
1480,8353,1,space nasa launch earth satellite shuttle,0.391,0.469,7,time use used number point different,sci.space,sci.space,rec.autos,spite great respect people speak think cost estimates bit optimistic working ssto complex large smaller experience base ssto development cost typical development puts range true contest result larger market don think given risks involved ssto costs available launch market think allen
1481,2685,5,drive card scsi disk dos windows,0.391,0.514,2,car new bike price sale cars,misc.forsale,comp.sys.ibm.pc.hardware,misc.forsale,sale trade model lan new used original packing unit ports ethernet included power supply manuals hardware setup using twisted pair telephone wiring units trade looking hardware email jerry rose com phone week
1482,9413,16,people god does believe evidence say,0.390,0.526,15,don just like know think good,talk.religion.misc,alt.atheism,rec.motorcycles,addressed key issues long lines post dean posts yesterday title post new thread dean irony impaired second appeared thread post challenge revised talk abortion posting contents talk religion misc soon exit week second post really main bones contention tells things continues rack talk abortion talk r
1483,7585,15,don just like know think good,0.390,0.651,17,power use water ground wire used,rec.autos,rec.motorcycles,sci.electronics,just couple questions technique firing order use start pointer finger left hand right secondly cylinders suggestions
1484,1293,15,don just like know think good,0.390,0.577,13,team game year games play season,rec.sport.baseball,rec.motorcycles,rec.sport.hockey,chicago pitching form pitching today given way buck changes rotation just work confused stat page editor
1485,1725,8,president government people said program money,0.390,0.538,15,don just like know think good,sci.crypt,talk.politics.misc,rec.motorcycles,parts world european socialists known fascist capitalist head labels think carefully according eff announcement thing nsa developing turkey years manufacturing contract let months ago believes fact clinton white house announcement means bush republican supporter personal privacy fool
1486,6919,15,don just like know think good,0.390,0.575,9,edu com mail information send list,rec.sport.baseball,rec.motorcycles,comp.sys.mac.hardware,tickets giants wondering anybody familiar stadium tell section lower level located mail response thanks rich
1487,6376,15,don just like know think good,0.390,0.563,2,car new bike price sale cars,rec.motorcycles,rec.motorcycles,misc.forsale,riding tank design seat tends forward wouldn major danger stopped tank wouldn impact problem michael
1488,2650,15,don just like know think good,0.390,0.630,4,health medical disease use patients food,sci.med,rec.motorcycles,sci.med,looked came good sources read particular interested finding injection liver like pointer helpful newsgroup thanks
1489,5856,1,space nasa launch earth satellite shuttle,0.390,0.408,15,don just like know think good,sci.space,sci.space,rec.motorcycles,idea suggested discussions possible near term commercial space activities folks involved discussions spacecraft engineer named carter passed suggestion types mike apparently going ahead working space marketing sensors carried actually sounds unlikely don know launch vehicle expect commercial launche
1490,2646,9,edu com mail information send list,0.390,0.514,13,team game year games play season,rec.sport.hockey,comp.sys.mac.hardware,rec.sport.hockey,newsgroups rec sport hockey subject nhl team milwaukee summary sender distribution organization university department keywords lloyd married allen bradley corp com family owns bradley center new national ice center way heard lloyd referred bob bought bradley center nhl come yeah bucks milwaukee wave
1491,871,8,president government people said program money,0.390,0.663,15,don just like know think good,alt.atheism,talk.politics.misc,rec.motorcycles,ought supported known provided weapon systems tactical support technology hussein did bush yes cheat hillary
1492,7064,8,president government people said program money,0.390,0.606,15,don just like know think good,talk.politics.guns,talk.politics.misc,rec.motorcycles,note party ticket david duke duke leading ticket gave chance vice president just supporting duke
1493,2643,17,power use water ground wire used,0.389,0.466,15,don just like know think good,rec.autos,sci.electronics,rec.motorcycles,long silly discussion deleted suggestion isn far sounds years ago time place used oil changes powered automotive engines cases way sort tray oil pan hull various chambers did oil sure trying used small pump powered electric drill suck oil hole long designed fit tube shorter outlet convenient contain
1494,3597,13,team game year games play season,0.389,0.515,15,don just like know think good,rec.sport.baseball,rec.sport.hockey,rec.motorcycles,clemens going normal days rest pitched saturday pitched inning yesterday afternoon inning start days plenty expected turn saturday starter good thing course like managed man rotation team glenn digital equipment corporation dec com
1495,2939,4,health medical disease use patients food,0.389,0.488,15,don just like know think good,sci.med,sci.med,rec.motorcycles,true gave reached laser age fact surgery new exciting field probably won effective laser usually burn avoid deeper damage limited cured albeit slowly medication finally self diagnosis reliable look like infection requires different treatment
1496,6669,14,gun law guns government people state,0.389,0.618,10,said people went didn came told,talk.politics.guns,talk.politics.guns,talk.religion.misc,incident bomb members killed circa mayor white frank second bomb included mayor wilson black
1497,1377,15,don just like know think good,0.388,0.565,1,space nasa launch earth satellite shuttle,sci.space,rec.motorcycles,sci.space,things detected space looked possible problems detectors mechanism cosmic rays cause seeing things
1498,6480,11,image software available ftp files graphics,0.388,0.660,5,drive card scsi disk dos windows,comp.os.ms-windows.misc,comp.graphics,comp.sys.ibm.pc.hardware,windows derived letter vms hal ibm recall chief architect vms chief designer
1499,6758,8,president government people said program money,0.388,0.628,15,don just like know think good,talk.politics.misc,talk.politics.misc,rec.motorcycles,sign middle class ask george walker bush period lasted hours chosen bush running
1500,3358,11,image software available ftp files graphics,0.388,0.499,6,window server motif widget use application,sci.crypt,comp.graphics,comp.windows.x,yes error need diff standard console console supplied think specially modified works added end signature file pub netcom com download anonymous ftp using oops cutting fix mac port
1501,8266,2,car new bike price sale cars,0.388,0.555,15,don just like know think good,comp.os.ms-windows.misc,misc.forsale,rec.motorcycles,somebody tell canon buy cheapest price thanks advance
1502,6384,2,car new bike price sale cars,0.388,0.555,15,don just like know think good,rec.motorcycles,misc.forsale,rec.motorcycles,usually wear inside face helmet dirt wind contacts
1503,7444,6,window server motif widget use application,0.388,0.610,5,drive card scsi disk dos windows,comp.os.ms-windows.misc,comp.windows.x,comp.sys.ibm.pc.hardware,think support confused disk space limit virtual address space limit far disk concerned limited free space limit causes message windows use virtual address space virtual memory manager create function free memory windows starts section ini specify parameter following description windows resource kit 
1504,131,2,car new bike price sale cars,0.388,0.484,15,don just like know think good,rec.motorcycles,misc.forsale,rec.motorcycles,watch cover means looking steal bike case cover stolen bmw apartment visible street evidently decided wasn worth stealing did try night steal honda parked apartment building neighbor heard called cops know just setting actually things really good bmw bikes accounts heard practically probably similar
1505,2035,0,israel turkish armenian jews war israeli,0.388,0.532,18,god jesus church bible christ christian,soc.religion.christian,talk.politics.mideast,soc.religion.christian,fail note intense suffering world christians certain following christ strict obedience command earth nazi punished jews killing christ innocent women burned alive accordance shall allow witch live moslems killed god men destroyed religious wars spain france england christianity undoubtedly caused su
1506,6953,15,don just like know think good,0.388,0.570,5,drive card scsi disk dos windows,comp.sys.ibm.pc.hardware,rec.motorcycles,comp.sys.ibm.pc.hardware,netters looking books showing fix hardware problem let know books mind thanks
1507,1091,6,window server motif widget use application,0.388,0.602,9,edu com mail information send list,comp.windows.x,comp.windows.x,comp.sys.mac.hardware,remember seeing distribution mentioning support tektronix terminal server accurate mike acs virginia edu
1508,2419,0,israel turkish armenian jews war israeli,0.387,0.567,16,people god does believe evidence say,talk.politics.mideast,talk.politics.mideast,alt.atheism,proven maybe certainly verified reasonable doubt statement statements like matter public record day war think arab leaders broadcasting statements arab radio want check old newspapers think look hamas covenant written different impression original arabic translation verified arabic speakers document
1509,7353,16,people god does believe evidence say,0.387,0.523,7,time use used number point different,alt.atheism,alt.atheism,rec.autos,course version position included challenges claim flat lie week claimed answer challenges turned included text want context included articles come think contradiction new entry challenges post way kept bloody thing written related thread pleased post position forgotten leave electronic paper trail n
1510,8069,15,don just like know think good,0.387,0.620,5,drive card scsi disk dos windows,comp.sys.ibm.pc.hardware,rec.motorcycles,comp.sys.ibm.pc.hardware,simple concept null modem cable actually idea don count statement asking pins does use specifications just want instead buying don know port used help vax edu kevin
1511,7545,16,people god does believe evidence say,0.387,0.676,15,don just like know think good,sci.crypt,alt.atheism,rec.motorcycles,agree danger say political issue technical
1512,1614,13,team game year games play season,0.387,0.538,15,don just like know think good,rec.sport.baseball,rec.sport.hockey,rec.motorcycles,pitchers matter good mechanics machines young winners don pitch unaware doing braves pitching staff showing signs cracking strain knowing going runs unfortunately braves pitchers bad long organization stress mean stress pitching completely ignored hitting braves right looking similar braves mid heav
1513,7636,2,car new bike price sale cars,0.387,0.436,7,time use used number point different,rec.motorcycles,misc.forsale,rec.autos,point experiments difficult know physics situation calculations fact effects contributing leaning bike begin turn effect causing torque bike contact patch having shifted causing bike fall contact patch accelerated causing torque bike average bike rider average bike wheel speeds mph say calculate twi
1514,6685,10,said people went didn came told,0.387,0.651,15,don just like know think good,talk.religion.misc,talk.religion.misc,rec.motorcycles,nut clearly liar said surrender local radio stations broadcast message didn said surrender passover didn excuses gross disregard safety children displayed feds pointed clinton probably seen
1515,1879,18,god jesus church bible christ christian,0.387,0.540,15,don just like know think good,talk.religion.misc,soc.religion.christian,rec.motorcycles,yes remeber works read years ago ritual called believe spelling pope charles
1516,4105,0,israel turkish armenian jews war israeli,0.387,0.630,15,don just like know think good,talk.politics.mideast,talk.politics.mideast,rec.motorcycles,character invented men purposes said head arab american relations committee tim remind readers fact daily news march reported arrest foreign newspapers reported release shortly provide copies articles request
1517,6293,17,power use water ground wire used,0.387,0.519,15,don just like know think good,sci.electronics,sci.electronics,rec.motorcycles,explanation think capacitors series handle twice output voltage know positive sides facing used obtain large capacitor handle positive negative probably design philosophical reason production cost best
1518,2956,14,gun law guns government people state,0.386,0.515,15,don just like know think good,talk.politics.misc,talk.politics.guns,rec.motorcycles,evidence aware reported media evidence presented trial sounds lot like rodney king trial bunch people saw seconds minute long video decided knew people sat week trial
1519,3537,0,israel turkish armenian jews war israeli,0.386,0.528,7,time use used number point different,talk.politics.mideast,talk.politics.mideast,rec.autos,choice piece checking sources does deserve believed gaza strip does possess highest population density world fact isn close just example serve illustrate statement city kong nearly times population gaza strip roughly comparable land area centers numerous cities possess comparable far higher populati
1520,7861,11,image software available ftp files graphics,0.386,0.689,6,window server motif widget use application,alt.atheism,comp.graphics,comp.windows.x,tail functions scheme efficient loops doesn program assembler heard compilers
1521,8584,10,said people went didn came told,0.386,0.578,15,don just like know think good,talk.religion.misc,talk.religion.misc,rec.motorcycles,tell folks man run reason attack man beliefs legal terminology argument attack man did proven illegal remember movie couple years ago scene factory gas coming pipes floor degree flame overhead note did flash fires burn like tear gas mix distribute flash analyst tell tell fbi spokesman reno maybe shu
1522,9866,12,key encryption chip clipper keys privacy,0.386,0.634,15,don just like know think good,sci.crypt,sci.crypt,rec.motorcycles,yes clipper intergraph risc chip used thier workstations wonder intergraph going thier sake
1523,8988,2,car new bike price sale cars,0.386,0.539,15,don just like know think good,rec.autos,misc.forsale,rec.motorcycles,hello netters visiting sweden august probably rent chevy quoted week additional days include free driving distance local taxes baltimore told insurance thats necessary included doubt cause friend rented car year turned needed lot insurance included base price hand didn rent does info rip probability
1524,3434,4,health medical disease use patients food,0.386,0.549,15,don just like know think good,sci.med,sci.med,rec.motorcycles,agree adding layers managers simply eat money spent actually doing work doctors supplies efficient probably limited management fixed budget england canada afraid wrong track problem insurance lobby powerful gordon banks skepticism chastity intellect geb cadre dsl pitt edu shameful surrender soon
1525,5044,10,said people went didn came told,0.386,0.658,15,don just like know think good,talk.politics.guns,talk.religion.misc,rec.motorcycles,fbi briefing mention having starters mother media jmd handheld com
1526,8180,7,time use used number point different,0.386,0.537,2,car new bike price sale cars,rec.motorcycles,rec.autos,misc.forsale,cage numerous occasions hand rolled window effort wave passing biker
1527,9180,6,window server motif widget use application,0.386,0.493,15,don just like know think good,comp.windows.x,comp.windows.x,rec.motorcycles,looked faq reilly books unable easy means finding state state keys certainly track events inside window set pressed window looked decided definitely wanted convenience function tell information question means determining state pointed question easy means making keyboard act like keyboard active user
1528,1812,1,space nasa launch earth satellite shuttle,0.386,0.549,15,don just like know think good,sci.space,sci.space,rec.motorcycles,advertising sure nasa friend spent night figuring just exactly gold need golden certain american fast food organization face moon fortunately morning hmmm actually isn like million think sounds like lot tens said organization sold year best substance craft lunar orbit large set craft reasonable visi
1529,4400,15,don just like know think good,0.386,0.549,5,drive card scsi disk dos windows,sci.electronics,rec.motorcycles,comp.sys.ibm.pc.hardware,try cables chips let dig cables chips street near south street wall street phone ordering exact good chance screw pretty good deliver cheers rob
1530,346,9,edu com mail information send list,0.385,0.508,15,don just like know think good,misc.forsale,comp.sys.mac.hardware,rec.motorcycles,deal jay hayes ripped deal guy know door bat lives post address later phone number case wants leave nasty messages return email return phone calls left message collect man maintains net turkey net
1531,6766,5,drive card scsi disk dos windows,0.385,0.493,15,don just like know think good,comp.sys.mac.hardware,comp.sys.ibm.pc.hardware,rec.motorcycles,duo park heads seconds drive logic programmed software way tune makes heads park think heads parked seconds hear heads parking
1532,4927,5,drive card scsi disk dos windows,0.385,0.586,15,don just like know think good,sci.electronics,comp.sys.ibm.pc.hardware,rec.motorcycles,video machines used mode copy video phone number ask sales department state arizona does savings time effectively pacific time zone
1533,4944,14,gun law guns government people state,0.385,0.588,15,don just like know think good,talk.politics.guns,talk.politics.guns,rec.motorcycles,hmm person isn time group committed suicide avoid persecution capture miss point raid happened place fbi actions damn warsaw ghetto fitting gore events remove references dates government troops wearing black uniforms carrying automatic weapons backed armored vehicles religious minorities claim pract
1534,1034,15,don just like know think good,0.385,0.539,2,car new bike price sale cars,rec.autos,rec.motorcycles,misc.forsale,just detector dash cop doesn right away valentine best detector far stated car driver tells direction radar coming gives threats picking place everyday goes number threats valentine detecting genuine cop factory direct problem rob lehigh edu
1535,9000,15,don just like know think good,0.385,0.506,18,god jesus church bible christ christian,soc.religion.christian,rec.motorcycles,soc.religion.christian,told satan angel charge music heaven beautiful angels isn funny days bible music beauty days controls bands popular matter bad fact better politically correct like talent course television station tells dress think started fashion just food thought really wierd theory revelation come true today thin
1536,959,5,drive card scsi disk dos windows,0.385,0.563,15,don just like know think good,comp.graphics,comp.sys.ibm.pc.hardware,rec.motorcycles,course agree does measurement better does motion screen video does rom manufacturers shall date second hand hard look future
1537,2977,0,israel turkish armenian jews war israeli,0.385,0.525,15,don just like know think good,talk.politics.mideast,talk.politics.mideast,rec.motorcycles,btw does river flow west south think waters stay entirely lebanese territory hasan says jordan river makes sense case river hand flows jordan mistaken
1538,2000,7,time use used number point different,0.385,0.533,15,don just like know think good,talk.politics.guns,rec.autos,rec.motorcycles,really stupid rules late century quite different today posted matches current rules don make look like things late hundreds original constitution militia arms simply currently german special significance words simply special emphasis pete com uunet
1539,9134,10,said people went didn came told,0.384,0.584,0,israel turkish armenian jews war israeli,talk.politics.mideast,talk.religion.misc,talk.politics.mideast,center policy research cpr subject israeli press torture written apr cpr org mideast forum israeli press torture israeli press newspaper date december author subject torture title article moderate physical pressure times course long hours room prison says beaten tortured heard agent captain louis ph
1540,7063,19,file entry output program section char,0.384,0.592,11,image software available ftp files graphics,comp.os.ms-windows.misc,rec.sport.baseball,comp.graphics,love windows probably want delete damaged executables fresh data files examined repaired stupid caches things windows runs swap file contain data pretty risky stuff environment reasonably accurate prediction brief description dos stores files pieces file directory entry fat chain data area think she
1541,8264,8,president government people said program money,0.384,0.476,15,don just like know think good,talk.politics.misc,talk.politics.misc,rec.motorcycles,kind doesn understand difference proposed blocked congress executive order issued clinton let course thinking order create appearance low rates uncle sam shifted debt long term short term effect uncle sam federal goverment giant waiting blow short term rates rise payments deficit rise uncle borrow c
1542,3891,14,gun law guns government people state,0.384,0.576,7,time use used number point different,talk.politics.misc,talk.politics.guns,rec.autos,article colorado edu colorado edu teel writes definition resident specific thing alien look remember common usage words legal meaning gotta authority black law dictionary revised page residence factual place living particular misc requires bodily presence place campbell residence usually place frequ
1543,7167,19,file entry output program section char,0.384,0.517,6,window server motif widget use application,comp.windows.x,rec.sport.baseball,comp.windows.x,article crossposted windows author andy posted mon apr gmt reason following code causes application intercept change meaning intent code allow date fields following special keys insert today date day day dates example shouldn using field reason following code special keys hit idea code interpret key
1544,7549,2,car new bike price sale cars,0.384,0.600,15,don just like know think good,sci.space,misc.forsale,rec.motorcycles,want fun plug basic lotus use spreadsheet auto functions produce bar graphs based tilt hours day light avg
1545,8629,10,said people went didn came told,0.384,0.572,15,don just like know think good,talk.politics.guns,talk.religion.misc,rec.motorcycles,copy update randy weaver trial large response email messages decided sufficient warrant posting file follows folks resident list guess kind falls people updated randy weaver kevin harris trial yesterday marked jury apparently legal activities occurred jury selected things start today interesting out
1546,3327,15,don just like know think good,0.384,0.561,16,people god does believe evidence say,talk.religion.misc,rec.motorcycles,alt.atheism,evidence contrary koresh simply fanatic thought neccessary bunch folks children satisfy jim jones circa nope like koresh demonstrating evil corruption centuries
1547,8488,9,edu com mail information send list,0.384,0.582,15,don just like know think good,sci.electronics,comp.sys.mac.hardware,rec.motorcycles,does radio electronics free information cards work just send general information companies advertise magazine does sign catalog
1548,8986,5,drive card scsi disk dos windows,0.384,0.526,6,window server motif widget use application,comp.os.ms-windows.misc,comp.sys.ibm.pc.hardware,comp.windows.x,looking decent windows news reader given doesn work dll ibm tcp dos status windows use windows sockets liked dos abandon started using access token ring results invalid class error bye
1549,8438,11,image software available ftp files graphics,0.384,0.629,15,don just like know think good,comp.graphics,comp.graphics,rec.motorcycles,impulse shipping imagine close amiga imagine terms features
1550,867,11,image software available ftp files graphics,0.384,0.598,15,don just like know think good,comp.os.ms-windows.misc,comp.graphics,rec.motorcycles,experience new demo run baud dropping characters steve
1551,4322,15,don just like know think good,0.383,0.547,13,team game year games play season,rec.sport.baseball,rec.motorcycles,rec.sport.hockey,dallas alot nerve saying bunch mets fans football season local station times heard bigger bunch low intellect bed obnoxious entire life average eagles fan range best known big flames let works bob
1552,698,2,car new bike price sale cars,0.383,0.540,15,don just like know think good,rec.autos,misc.forsale,rec.motorcycles,bird manual says replace plugs plugs real plugs dad note didn long replaced agree weren greatest james
1553,7813,15,don just like know think good,0.383,0.666,5,drive card scsi disk dos windows,comp.os.ms-windows.misc,rec.motorcycles,comp.sys.ibm.pc.hardware,computer people advantages act like mac ate cat
1554,931,15,don just like know think good,0.383,0.607,0,israel turkish armenian jews war israeli,talk.politics.mideast,rec.motorcycles,talk.politics.mideast,did long greeks requesting called netters write istanbul
1555,6973,2,car new bike price sale cars,0.382,0.574,17,power use water ground wire used,misc.forsale,misc.forsale,sci.electronics,features include face watt amplifier red remote times bit best station memory controller loud switch clock original packaging asking best offer nice radio great condition remote comes handy wouldn think line interested send email orion uci edu offers considered
1556,7682,12,key encryption chip clipper keys privacy,0.382,0.494,5,drive card scsi disk dos windows,sci.crypt,sci.crypt,comp.sys.ibm.pc.hardware,whats difference modem modem entirely silly pointing modems approved data transmission work just fine transmit voice perry metzger pmetzger shearson com
1557,6797,10,said people went didn came told,0.382,0.529,16,people god does believe evidence say,rec.motorcycles,talk.religion.misc,alt.atheism,biker dog foremost want mention common sense choice killing dog getting injured killed rational decision insane animal rights dog second useful learn read dog body language react dog thinks game playing completely different react dog hostile intent useful learn present dog dogs social beasts recogni
1558,3285,13,team game year games play season,0.382,0.504,15,don just like know think good,rec.sport.hockey,rec.sport.hockey,rec.motorcycles,complaint doing jersey pitt series shots hits camera check boards puck slot rebound maybe mom camera people little experienced
1559,282,7,time use used number point different,0.382,0.498,18,god jesus church bible christ christian,talk.religion.misc,rec.autos,soc.religion.christian,remarkable managed zero probably evidence probably convincing anti christian literature jewish second century enormous quantities detailed arguments christianity arguments used today despite volumes attacking christianity denies existance jesus activities considerably compelling harmony gospels espe
1560,2368,15,don just like know think good,0.382,0.671,12,key encryption chip clipper keys privacy,sci.electronics,rec.motorcycles,sci.crypt,looks key sells chip number does want selling hope helps frank customer asked thing answered highly technical sensitive instrument use computer repair probably grasp exactly does frank radio doctor inter net pittsburgh sgi com washington packet usa disclaimer disclaimer confess did
1561,8666,14,gun law guns government people state,0.382,0.544,15,don just like know think good,talk.politics.guns,talk.politics.guns,rec.motorcycles,did australian customs service make public statement committee year weapons smuggling problem able control possibly criminals don grasp economics
1562,3971,7,time use used number point different,0.382,0.459,15,don just like know think good,sci.med,rec.autos,rec.motorcycles,think lee lady talking cross purposes lady concerned contrast great science makes big advances knowledge mediocre science makes smaller steps thread concerned difference science lee lady correct asserts difference einstein average post doc quality thought difference einstein genius great scientist g
1563,6701,11,image software available ftp files graphics,0.382,0.599,5,drive card scsi disk dos windows,misc.forsale,comp.graphics,comp.sys.ibm.pc.hardware,macintosh plus includes drives external software word excel pascal intro package tour leaving school sell steal reply mail
1564,3505,17,power use water ground wire used,0.382,0.595,15,don just like know think good,sci.electronics,sci.electronics,rec.motorcycles,early recall reading used mechanical compressed air valve controlled pickup result noisy conventional tended wear disks pretty quickly prof told willing students project worked wwii needed mega power clear audio quality purpose refugees aircraft solution giant compressed air source horn parallel wor
1565,8434,16,people god does believe evidence say,0.382,0.466,15,don just like know think good,talk.religion.misc,alt.atheism,rec.motorcycles,middle ages truely sad hate day churches people death practicing homosexuality crime church called governments world homosexuals treated today does mean teach christians practice homosexual think teach christians practice middle ages persecuted accuse judging did look heart love writing teach christ
1566,1592,6,window server motif widget use application,0.381,0.669,9,edu com mail information send list,sci.space,comp.windows.x,comp.sys.mac.hardware,compute astronomical things written export lcs mit edu
1567,2936,9,edu com mail information send list,0.381,0.561,4,health medical disease use patients food,sci.med,comp.sys.mac.hardware,sci.med,foundation america able answer questions send information references seizure types medication references area ask number local foundation touch parent support group social workers good luck
1568,7181,18,god jesus church bible christ christian,0.381,0.531,15,don just like know think good,alt.atheism,soc.religion.christian,rec.motorcycles,yes jesus super hero grand scale make life pleasant working people similar notion supernatural change world wasn communist god man gave presents kids christmas don know fanatics cheers kent
1569,587,16,people god does believe evidence say,0.381,0.557,15,don just like know think good,talk.politics.misc,alt.atheism,rec.motorcycles,nice dodge answer questions believe draft armed services voluntary say taxes answered question answer
1570,4560,8,president government people said program money,0.381,0.526,1,space nasa launch earth satellite shuttle,sci.space,talk.politics.misc,sci.space,selected excerpts invitation registration form sent permission low cost lunar access day conference explore means benefits human lunar program friday crystal city hotel arlington conference low cost lunar access conference forum exchange ideas structure affordable human lunar program inherent low co
1571,5653,15,don just like know think good,0.381,0.522,11,image software available ftp files graphics,comp.graphics,rec.motorcycles,comp.graphics,looking good free graphics library package program mainly use write children games education software heard mentioned gfx good pardon question sounds little strange asking question friend thanks advance
1572,1959,15,don just like know think good,0.381,0.614,13,team game year games play season,rec.sport.baseball,rec.motorcycles,rec.sport.hockey,com jimmy way reds play man days
1573,3317,8,president government people said program money,0.381,0.566,15,don just like know think good,sci.crypt,talk.politics.misc,rec.motorcycles,people usenet clearly special bunch live net future culture rapid electronic access information society general depend cnn hope make information public radical fringe majority country freedom easily won
1574,7531,2,car new bike price sale cars,0.381,0.523,15,don just like know think good,rec.autos,misc.forsale,rec.motorcycles,water gradually trunk friend ford probe remove spare water cover trunk guess usually happens good thunder storm common problem drain holes located thanks info tom
1575,6448,2,car new bike price sale cars,0.381,0.501,5,drive card scsi disk dos windows,misc.forsale,misc.forsale,comp.sys.ibm.pc.hardware,subject external extremely cheap brand new external floppy drive box sell shipping firm half market price check page computer apr issue price let know interested
